Date,Day,제주Ava,제주H/U,제주Sold,제주Occ%,제주ADR,제주Rm Rev.,제주FB Rev.,남원Ava,남원H/U,남원Sold,남원Occ%,남원ADR,남원Rm Rev.,남원FB Rev.,경주Ava,경주H/U,경주Sold,경주Occ%,경주ADR,경주Rm Rev.,경주FB Rev.,낙산Ava,낙산H/U,낙산Sold,낙산Occ%,낙산ADR,낙산Rm Rev.,낙산FB Rev.,드림Ava,드림H/U,드림Sold,드림Occ%,드림ADR,드림Rm Rev.,드림FB Rev.,도고Ava,도고H/U,도고Sold,도고Occ%,도고ADR,도고Rm Rev.,도고FB Rev.,가평Ava,가평H/U,가평Sold,가평Occ%,가평ADR,가평Rm Rev.,가평FB Rev.
2003-10-13,Mon,89.0,1.0,30.0,33.7,"117,294","3,518,833",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-14,Tue,89.0,1.0,36.0,40.4,"94,494","3,401,798",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-15,Wed,89.0,1.0,57.0,64.0,"87,149","4,967,502",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-16,Thu,90.0,0.0,89.0,98.9,"70,707","6,292,956",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-17,Fri,88.0,2.0,82.0,93.2,"90,374","7,410,661",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-18,Sat,88.0,2.0,52.0,59.1,"105,130","5,466,746",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-19,Sun,88.0,2.0,51.0,58.0,"109,363","5,577,538",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-20,Mon,88.0,2.0,69.0,78.4,"114,721","7,915,744",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-21,Tue,87.0,3.0,86.0,98.9,"102,596","8,823,228",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-22,Wed,86.0,4.0,82.0,95.3,"92,065","7,549,294",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-23,Thu,88.0,2.0,54.0,61.4,"83,922","4,531,780",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-24,Fri,89.0,1.0,69.0,77.5,"110,854","7,648,953",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-25,Sat,89.0,1.0,56.0,62.9,"119,836","6,710,794",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-26,Sun,89.0,1.0,38.0,42.7,"135,025","5,130,945",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-27,Mon,89.0,1.0,33.0,37.1,"125,217","4,132,166",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
